team,elo_rating,rank
Micronesia,1454.8292722419242,223
Székely Land,1452.6532512465105,224
Chagos Islands,1450.953791806658,225
Kazakhstan,1449.9556827874458,226
Two Sicilies,1447.1915804351502,227
Gotland,1446.6607454908644,228
Kyrgyzstan,1446.4913191884923,229
Mauritania,1445.2826518462045,230
Western Australia,1442.539208052549,231
Gozo,1441.0188767585946,232
Orkney,1438.8020481923038,233
Provence,1436.7060364947906,234
Rwanda,1435.6205531626401,235
Saint Helena,1435.4606903948193,236
Saint Pierre and Miquelon,1435.2346258017694,237
Barawa,1433.1437027540223,238
Yemen DPR,1430.6719854333398,239
Malawi,1429.428833449875,240
Turkmenistan,1428.327957691601,241
Hitra,1425.4761816229425,242
Tanzania,1424.8126747921206,243
Armenia,1421.6022281901226,244
Liberia,1421.5229399281588,245
Ethiopia,1419.0816065724546,246
Raetia,1419.0566032558484,247
Ambazonia,1417.8102095609324,248
Botswana,1416.842193981588,249
Kiribati,1415.3917936785676,250
Burundi,1414.237452076225,251
Vietnam Republic,1414.0291066581376,252
Lesotho,1413.348817887665,253
Darfur,1409.9992533662685,254
Sint Maarten,1405.9919297949518,255
Guinea-Bissau,1405.640807102379,256
Wallis Islands and Futuna,1403.4534122110877,257
Bermuda,1401.9756333188168,258
Central African Republic,1399.5208159021593,259
Luxembourg,1399.4561500235766,260
Saint Vincent and the Grenadines,1397.2352876378604,261
Puerto Rico,1392.4068343683587,262
Saare County,1386.9669180975943,263
Congo,1386.8413637723038,264
Estonia,1385.0944157986785,265
Philippines,1381.2998134663371,266
Tibet,1381.2499108648246,267
Azerbaijan,1375.8281183883084,268
Saint Kitts and Nevis,1374.6848781458468,269
Tuvalu,1373.7869988426228,270
Samoa,1366.5099771037528,271
Hong Kong,1365.5723100290425,272
Saint Martin,1365.5071301546852,273
Yemen,1364.3739498321345,274
Singapore,1360.8366182650232,275
Falkland Islands,1355.011129455559,276
Saint Lucia,1353.123602822307,277
Grenada,1352.7792750818767,278
Eswatini,1350.0342607879265,279
Belize,1349.2604354015173,280
Montserrat,1349.1010364003505,281
Frøya,1348.9045965488808,282
Cyprus,1345.8954565300326,283
Faroe Islands,1345.5237171698645,284
Cook Islands,1330.7096879182404,285
Bonaire,1328.9115860167367,286
India,1328.0463001009448,287
South Sudan,1320.4384330097798,288
Latvia,1314.853177905411,289
Afghanistan,1313.1929994431173,290
Chad,1312.3027267570762,291
Lithuania,1311.9296615635658,292
Moldova,1309.344935030293,293
Eritrea,1304.0412693927808,294
Aruba,1297.411401049027,295
Dominica,1294.543385210745,296
Antigua and Barbuda,1290.5338616414365,297
Malta,1284.2523575107678,298
Barbados,1281.7831149969509,299
São Tomé and Príncipe,1274.2361170851286,300
Tonga,1270.8072221224738,301
Turks and Caicos Islands,1268.309736865746,302
Mauritius,1264.1355211763464,303
Northern Mariana Islands,1263.9404137585248,304
Myanmar,1256.3396713797727,305
Cayman Islands,1234.2130857948666,306
Bangladesh,1232.147068487035,307
American Samoa,1222.015840312488,308
Nepal,1221.3558906420235,309
Bahamas,1218.7598690056568,310
Alderney,1213.7974274302944,311
Pakistan,1206.8943564566791,312
British Virgin Islands,1197.9814623579136,313
Gibraltar,1193.0580644684055,314
Taiwan,1190.8187264592204,315
United States Virgin Islands,1190.1925365775742,316
Somalia,1184.0016650719094,317
Djibouti,1179.6828074912287,318
Cambodia,1177.4573023049427,319
Mongolia,1177.2438203074319,320
Maldives,1170.698201721235,321
Guam,1167.7658531859804,322
Sri Lanka,1148.7468918887716,323
Andorra,1142.070557080003,324
Seychelles,1139.2611737405307,325
Anguilla,1133.4776366863957,326
Laos,1120.1405270978933,327
Timor-Leste,1102.9365787300683,328
Brunei,1098.0027040756145,329
Liechtenstein,1086.1518829853242,330
Macau,1070.6136460025853,331
Bhutan,1066.521038444486,332
San Marino,964.2830371510028,333
